Date,Flow observed,MBC FFNN,MBC DA,Random error FFNN
31/12/2022 14:15,158,-1.9925487,-0.129286587,1.863262117
31/12/2022 14:30,158,-2.2061007,-0.335259497,1.870841205
31/12/2022 14:45,158,-1.3403834,-0.565341353,0.775042057
31/12/2022 15:00,158,-2.6078484,-0.501121342,2.106727064
31/12/2022 15:15,158,-2.0088654,-0.616859496,1.392005861
31/12/2022 15:30,156,-1.8631783,-0.431007355,1.432170898
31/12/2022 15:45,158,-2.3789217,-0.247628897,2.13129285
31/12/2022 16:00,152,-2.2206452,-0.218475148,2.002170041
31/12/2022 16:15,156,-2.415176,-0.196868539,2.218307376
31/12/2022 16:30,154,-2.599103,-0.182109252,2.416993722
31/12/2022 16:45,152,-2.4177575,-0.15227662,2.265480891
31/12/2022 17:00,152,-2.558102,-0.113967314,2.444134578
31/12/2022 17:15,152,-2.2150931,-0.071431302,2.143661834
31/12/2022 17:30,152,-2.3496463,0.138962731,2.488609061
31/12/2022 17:45,150,-2.3942676,0.370978713,2.765246272
31/12/2022 18:00,148,-1.2910861,0.654487669,1.945573747
31/12/2022 18:15,148,-1.5550517,0.727137744,2.282189429
31/12/2022 18:30,148,-0.7815139,0.71805495,1.49956888
31/12/2022 18:45,150,-0.95862997,0.765292227,1.723922193
31/12/2022 19:00,152,-0.68332314,0.86081636,1.544139504
31/12/2022 19:15,152,-0.6036879,1.006322265,1.610010147
31/12/2022 19:30,152,-0.5911969,1.043850303,1.635047197
31/12/2022 19:45,154,-0.24547699,0.963900149,1.20937714
31/12/2022 20:00,154,-0.4028937,0.841589153,1.244482845
31/12/2022 20:15,154,0.26833495,0.809835553,0.541500598
31/12/2022 20:30,154,0.15946421,0.709807396,0.550343186
31/12/2022 20:45,152,-0.33287886,0.700118124,1.032996982
31/12/2022 21:00,154,1.1764857,0.618577123,-0.557908535
31/12/2022 21:15,154,0.46093306,0.269563615,-0.191369444
31/12/2022 21:30,152,0.8576149,0.287475228,-0.570139647
31/12/2022 21:45,152,-0.3803306,0.091365568,0.471696161
31/12/2022 22:00,150,0.026315667,-0.029751439,-0.056067105
31/12/2022 22:15,150,-0.2143667,-0.097128563,0.117238142
31/12/2022 22:30,154,-1.6547683,-0.125142157,1.529626191
31/12/2022 22:45,154,-2.1321263,-0.105655715,2.026470616
31/12/2022 23:00,158,-2.8381493,-0.028579082,2.809570227
31/12/2022 23:15,160,-3.006082,-0.038179986,2.967902072
31/12/2022 23:30,162,-3.5614266,0.041806396,3.603233036
31/12/2022 23:45,166,-3.612219,0.073785678,3.686004773
01/01/2023 00:00,170,-2.6419868,0.245937586,2.887924433
01/01/2023 00:15,174,-2.9308476,0.242286429,3.173134074
