Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
01/10/1995,-20.592537,-8.434091,-13.713001,-19.925207,-8.1749115,-1.9718683,-5.7310214
02/10/1995,24.27722,37.334854,31.92838,26.073357,15.732128,11.174618,-8.301322
03/10/1995,14.527816,33.245014,36.466095,39.51328,43.85198,37.14263,15.352733
04/10/1995,-8.060724,13.134025,19.770218,28.674145,41.416264,36.301224,18.983854
05/10/1995,-21.03704,-7.532887,-9.431444,4.698848,11.9591,11.852842,4.3360105
06/10/1995,20.36584,31.205114,28.250914,27.804045,15.860064,9.993877,-4.745811
07/10/1995,36.44242,49.062332,49.658855,42.188457,34.61076,27.747856,12.84593
08/10/1995,27.93287,45.762676,50.78271,50.482708,44.791126,40.472507,23.895067
09/10/1995,27.677961,44.09901,48.016815,45.027245,39.44839,34.612152,21.03551
10/10/1995,24.742373,44.110027,50.774174,48.93183,39.15996,35.616856,19.685392
11/10/1995,12.726567,32.240974,34.79543,39.471024,34.73842,31.330133,21.373026
12/10/1995,6.817116,26.982204,28.693233,33.57438,26.010412,23.522001,13.816725
13/10/1995,9.97005,29.28722,30.847313,33.56265,23.764542,21.412617,14.235333
14/10/1995,7.991271,28.113249,30.735973,35.087173,24.028782,22.258036,12.797455
15/10/1995,9.90986,29.589031,32.611687,36.185837,23.229301,21.761555,14.183539
16/10/1995,5.636652,26.373615,29.491392,36.724407,24.779608,22.931896,14.268942
17/10/1995,3.8290393,23.7981,26.12487,36.15819,24.930597,23.05111,14.634098
18/10/1995,0.5931843,22.674078,25.673513,33.613026,23.494642,21.672235,14.830627
19/10/1995,-0.6020629,20.955137,24.56339,35.961014,25.760977,24.383144,15.670566
20/10/1995,-7.2603216,16.339296,21.207737,32.074974,20.581778,20.346668,14.092076
21/10/1995,-1.6999208,19.349415,22.751287,31.098345,16.05388,15.4002075,9.128184
22/10/1995,-7.0052743,14.67574,19.04784,28.857182,13.640356,14.4305725,8.689215
23/10/1995,-1.9121968,18.083704,21.556602,30.250267,12.075343,13.033394,6.7739987
24/10/1995,4.6121473,21.943552,24.857958,33.98456,13.332211,14.066498,6.651563
25/10/1995,-2.5220354,18.65366,24.283512,37.2517,16.764868,17.953846,8.00125
26/10/1995,-4.9492803,14.546933,19.646677,32.419266,12.865759,14.8324795,7.9681354
27/10/1995,-7.9280276,11.791688,17.244982,28.54967,8.420167,10.112488,4.52157
28/10/1995,-5.4514475,13.12226,18.112617,29.02356,9.109332,8.306156,3.0630622
29/10/1995,-14.695395,5.7152863,12.260017,24.318632,5.093458,7.478737,3.533236
30/10/1995,-39.758904,-18.87629,-15.159685,7.3522277,-3.7783384,5.105599,-1.3813285
31/10/1995,-31.370302,-17.25613,-22.751677,-14.681574,-26.418705,-14.9793005,-12.809232
01/11/1995,-2.6136644,11.2226515,9.449506,7.9448195,-13.239058,-13.025366,-12.522876
02/11/1995,-7.3492947,15.8308,24.583183,22.391018,7.1135783,1.9522483,3.9472902
03/11/1995,-19.86122,2.4286497,9.463225,22.867899,11.811505,10.618647,6.6336017
04/11/1995,-29.92571,-11.2378845,-8.413654,4.6831555,-1.5344539,2.5837085,3.7250764
05/11/1995,-20.660982,-5.5866575,-6.0908017,-0.825992,-12.365473,-8.563591,-5.0143957
06/11/1995,-4.4030657,10.674301,9.779436,11.12231,-5.1682343,-4.363112,-4.7391033
07/11/1995,0.51095945,19.133528,21.529749,25.84581,8.557321,7.7800965,4.688932
08/11/1995,15.514485,33.93533,37.755142,39.834778,17.66146,17.034538,9.534471
09/11/1995,-0.061183143,22.817692,29.55957,40.474022,24.855143,23.9706,17.09102
10/11/1995,-4.4486766,15.457564,19.946703,29.586758,14.346969,15.545155,13.214049
11/11/1995,-2.1960824,18.171558,24.622437,31.531525,12.095498,12.839763,10.099032
12/11/1995,-7.809623,13.624851,20.121597,29.513945,11.723386,13.317633,9.659788
13/11/1995,-9.569726,11.242635,17.03236,27.723534,8.716215,10.922577,6.301887
14/11/1995,-3.5975225,14.742791,19.731213,28.783176,8.064384,8.81733,5.077247
15/11/1995,-6.7251678,12.234479,18.239347,29.590326,8.8872795,10.486828,5.872206
16/11/1995,-19.752743,0.19271329,8.673024,19.67536,2.460531,3.4474218,2.5249054
17/11/1995,-36.663757,-23.67647,-14.044271,5.2421513,-10.90627,-7.0492473,-3.016635
18/11/1995,-57.67426,-48.268353,-39.13477,-18.15856,-24.272287,-11.445864,-8.028803
19/11/1995,-243.61351,-230.66434,-224.64769,-146.19684,-83.583626,-48.64596,-19.270855
20/11/1995,-60.7847,-85.33001,-147.95921,-168.49034,-186.11787,-154.00244,-94.652245
21/11/1995,54.591316,45.8408,27.914259,-2.6432214,-51.218987,-63.274933,-54.238674
22/11/1995,39.577007,48.740448,56.126648,58.06449,50.82672,34.560776,20.189383
23/11/1995,21.557123,39.215897,48.047794,55.033123,56.86883,47.040306,37.649624
24/11/1995,20.322218,38.39573,47.605953,49.363968,47.3851,40.466267,33.218796
25/11/1995,9.591151,29.700155,39.20834,41.9345,40.06736,36.02096,30.671244
26/11/1995,4.574332,24.87748,33.171005,32.758667,29.132969,26.709564,23.954906
27/11/1995,1.2005547,19.805622,26.160826,31.381521,24.27032,22.754951,18.146553
28/11/1995,4.4598217,25.110147,32.067787,27.718193,19.644432,16.6634,15.756077
29/11/1995,3.5589988,22.186798,28.668476,34.687542,23.239347,21.521137,15.1732645
30/11/1995,-8.454769,12.258582,17.480982,26.727665,20.13895,20.796244,19.744497
01/12/1995,-8.75804,11.139378,14.703788,21.53052,12.784262,13.639871,14.490827
02/12/1995,-3.4143188,17.425436,21.64942,24.829222,12.27701,11.548247,11.482976
03/12/1995,-5.8866396,15.114331,19.039667,23.813242,12.85597,13.494409,13.85937
04/12/1995,3.0549285,22.920717,26.370195,30.955511,16.168571,16.54824,13.188648
05/12/1995,-2.5978625,20.083572,26.231924,33.618927,17.835432,17.608133,13.280716
06/12/1995,-3.2221239,17.816078,22.342304,29.113207,14.601242,14.701976,12.329272
07/12/1995,-1.7527329,18.757717,22.887625,29.948816,12.805655,13.601327,9.54308
08/12/1995,-5.1931944,14.209432,18.137802,27.088276,11.079272,12.646969,8.832996
09/12/1995,-6.696334,12.955623,17.964645,28.130222,11.514133,13.716245,9.448378
10/12/1995,-3.9368513,15.400613,19.91932,27.812626,9.338127,10.881987,7.745442
11/12/1995,-9.18152,9.93955,14.758806,26.30093,8.847534,11.391955,7.8757567
12/12/1995,-1.7025367,16.29817,20.38132,30.068523,9.394978,10.588216,6.0702267
13/12/1995,-4.622463,14.048245,18.732275,29.965393,9.524555,10.971856,6.114101
14/12/1995,-13.033568,6.760346,12.234864,25.83452,7.0551343,8.972702,5.447069
15/12/1995,-8.1378765,9.19531,12.695098,19.522474,-0.06274296,2.5577273,2.362802
16/12/1995,-0.75061005,16.739664,21.778622,28.144417,3.6819205,4.941131,0.88923186
17/12/1995,-7.7873654,12.567818,19.344458,30.913479,9.225341,11.169174,5.9294252
18/12/1995,-10.309479,9.678644,16.51498,28.223091,7.250484,8.122782,4.9722753
19/12/1995,-12.786417,7.4275036,15.127514,29.627823,8.521418,7.859072,3.1678681
20/12/1995,-20.781694,1.1880183,11.6950035,23.809055,0.5327401,-2.1233406,-3.2850213
21/12/1995,-42.483162,-17.979723,-5.870792,11.017604,-0.83294964,-1.4315846,-2.1414957
22/12/1995,-61.08677,-44.94763,-43.84315,-27.065012,-26.038467,-15.811944,-4.455309
23/12/1995,-130.27367,-143.63017,-128.666,-70.8472,-62.878433,-56.56832,-35.843876
24/12/1995,-213.9088,-248.55627,-259.2888,-184.62532,-149.23466,-124.9912,-83.70245
25/12/1995,-216.56763,-244.43005,-296.31042,-280.0351,-257.09256,-197.21342,-133.62964
26/12/1995,-124.27785,-120.409225,-151.75258,-194.25465,-223.68126,-163.9554,-112.15528
27/12/1995,-115.44175,-78.82666,-68.08818,-112.277466,-131.0094,-85.85946,-68.33833
