Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
01/10/1995,20.592537,8.434091,13.713001,19.925207,8.1749115,1.9718683,5.7310214
02/10/1995,-16.37629579,-1.57634341,5.089560521,7.1820675,-6.555929041,3.07032085,-3.603960021
03/10/1995,-1.85531539,2.076713753,2.249786348,9.79033557,-9.847471028,5.55879746,-1.105457648
04/10/1995,-8.956274291,2.760447122,4.100713625,19.00814412,-11.30242008,6.343227141,-1.428765957
05/10/1995,-0.053221459,5.338856,-0.945784737,8.376559982,-6.928763143,10.15192828,-0.330571695
06/10/1995,-20.55279906,-1.631887071,5.008477785,1.351144514,-3.943776578,6.589338714,-6.377986417
07/10/1995,-5.487238878,2.829651032,4.480270824,-3.196086395,-5.777626302,9.755767962,-0.3355998
08/10/1995,-6.364789098,-2.646552801,1.715962485,2.488841988,-4.371188866,7.810825825,-1.130731368
09/10/1995,2.180654875,5.602577677,2.444976992,-0.822967961,-3.796591752,8.137004952,-0.118287023
10/10/1995,-1.41531993,2.518734292,5.108817791,3.820027758,2.115590842,5.454913714,0.672165297
11/10/1995,3.563161165,0.329845855,2.635707085,1.001742876,-1.950295916,6.56029745,-2.076721297
12/10/1995,-3.674776055,-0.722272436,2.068787111,3.051527898,-0.891258024,5.206411628,-4.236487611
13/10/1995,-0.442912244,-0.247817992,1.158576893,3.055468286,-3.407268898,3.032340733,-2.753237282
14/10/1995,-4.402166109,-0.961246665,1.056934715,2.679321751,0.083314786,2.306666988,-4.606658148
15/10/1995,0.219423905,0.653244238,0.702087109,2.153018743,-2.215850377,2.929433541,-2.61939868
16/10/1995,-2.042601354,0.788261678,0.426370756,4.853874403,-2.544866789,2.179506512,-2.564602973
17/10/1995,-0.895844186,2.044206137,0.092935862,5.14605118,-2.814662628,1.978257447,-2.957116074
18/10/1995,-3.194381781,2.082483279,2.538328583,7.231986665,-1.553880434,3.291454804,-3.175547158
19/10/1995,1.307935734,0.438877359,-0.369532807,4.607799324,-0.132934779,1.925493619,-3.566956915
20/10/1995,-5.883196848,-2.664990084,3.094953506,6.235694945,-3.427994202,2.784620528,-3.048033413
21/10/1995,-3.879086826,-0.536506827,-0.604552762,5.682752412,-1.429263377,1.670728703,-3.437011877
22/10/1995,-1.569207664,-1.844346758,-1.959689976,8.180133369,-2.665190633,1.421899805,-3.404368694
23/10/1995,-4.097891644,-0.131446844,-1.952184199,8.117511778,-1.918192731,-0.974743983,-2.754145585
24/10/1995,1.706285508,0.684629458,-3.343160789,3.932817472,0.442148703,-0.688989837,-2.191979718
25/10/1995,-8.145310601,-0.038696469,1.638286706,8.214566632,-2.511918285,-0.722314857,-2.256521912
26/10/1995,-3.246661625,-0.959519212,-0.858072264,6.303554282,-2.126115903,-1.380337738,-0.150953813
27/10/1995,-6.680343181,-1.041108166,-0.522617574,7.762215834,-0.54571727,-2.847129552,-2.09971765
28/10/1995,2.874646677,1.713569735,-0.817788585,6.882220792,-4.512352382,-0.482625803,-3.788135359
29/10/1995,-8.929946415,-3.002587125,0.53798715,8.269216663,-2.458510223,-2.215668324,-1.778854582
30/10/1995,-23.99096249,1.179955161,6.21580778,8.632774818,-4.164289507,-4.946994572,-1.899086081
31/10/1995,-5.91983243,2.652474185,-4.311896837,3.193074359,-5.757926927,-0.08984661,-2.211556193
01/11/1995,-11.66605209,0.183952313,-0.715976909,4.099054287,-4.808135527,-3.21474249,-9.549847389
02/11/1995,7.383027852,4.220604953,-0.646758745,8.566278371,-2.839347343,-0.124899472,-13.33668115
03/11/1995,-13.68224466,0.387900555,-1.473865144,8.368738115,2.444016774,0.901520351,-6.125988518
04/11/1995,-14.0074031,3.278188684,-4.738570541,2.44288925,-1.016674964,2.634109283,-5.318923794
05/11/1995,-11.55956472,1.102787471,-0.097475545,4.243247163,-2.779906066,-0.303102497,-7.939673438
06/11/1995,-5.075853329,0.350598483,-3.508340724,4.45425002,-0.4524961,1.905223397,-9.410570162
07/11/1995,-5.370536629,1.115598434,-3.191059196,5.836364683,-1.514760899,1.635409863,-4.883171557
08/11/1995,-2.396274207,2.276420031,0.186557982,4.568042587,-0.055588799,1.341686518,-3.407990421
09/11/1995,-8.379004311,0.239251893,1.313175514,6.95913306,0.003715109,3.149749884,-1.385829341
10/11/1995,-2.596545206,0.427839633,-2.12113194,5.334563869,-3.271407477,2.732297469,-0.45617165
11/11/1995,-3.839145376,-0.269492723,-1.25386095,7.824287073,-1.142522727,0.617381737,-2.280182913
12/11/1995,-5.055829766,0.604373205,-2.128709503,7.82111512,-1.456855009,0.107084903,-1.851747858
13/11/1995,-9.363495817,0.831127894,-0.018297119,8.480983365,-3.144924984,-0.47111044,-2.817867482
14/11/1995,-3.126993892,1.782998261,-1.704159167,5.902950709,-0.782545583,-1.699196932,-2.704473591
15/11/1995,-6.308406304,1.659237812,-1.08555748,4.687345814,-0.363773335,0.771746486,-2.119101075
16/11/1995,-14.60022331,1.011104554,-0.918915571,11.43817493,-3.382543508,2.606369246,-3.840040045
17/11/1995,-18.05913576,4.14320584,-5.045149319,9.743445357,0.066403362,-0.490538562,-6.162774981
18/11/1995,-33.5441009,5.601112857,7.279406154,6.84487649,1.307122815,-6.139423094,-11.16157328
19/11/1995,-28.86592115,-4.399731655,-5.260146914,3.098939609,-14.25014475,-1.785291526,-14.18444438
20/11/1995,-18.22040406,-2.678740916,-0.222842612,-14.50296139,-21.73386035,-6.799912905,-27.70753436
21/11/1995,-35.54815842,-7.76827879,0.975490527,2.069685064,3.962158692,11.87331404,-22.57661073
22/11/1995,-12.16701478,6.038440702,5.240554759,0.618840536,-5.938719512,11.41464209,-8.172537297
23/11/1995,-8.412566001,7.000632846,4.329353675,5.251274125,-3.291200911,13.40692911,-0.858375678
24/11/1995,-6.668481885,8.835768718,3.010708072,3.854553118,-5.543219202,11.83562051,0.859397665
25/11/1995,-3.266673327,2.912390013,0.440532375,2.710019806,-3.28144844,9.689859244,-2.113169049
26/11/1995,-9.69015956,4.80627206,-3.419326533,5.761264793,-1.820686438,6.704082698,-2.822089685
27/11/1995,-9.168852182,4.192253214,-2.333372387,4.169740902,-2.835137429,5.992924214,-5.229385336
28/11/1995,0.352160455,4.483324527,-4.968831846,3.685012872,-3.626323632,9.978033716,-3.541478344
29/11/1995,5.851628565,-3.367210292,-1.519826784,5.87514492,-0.483806152,6.171257257,-5.938795086
30/11/1995,7.656308218,-3.857061271,-3.176813299,5.362468667,-3.354282031,7.457431461,-3.661512076
01/12/1995,6.354406882,-5.947521139,-0.025414663,4.781302891,-3.913399039,6.64729941,-4.395083821
02/12/1995,0.733932972,-2.796588878,0.527028822,4.921266281,-2.584961927,7.759471277,-5.045825998
03/12/1995,-1.504040236,0.081230409,-0.639289726,3.990728337,-3.430344199,6.963383282,-3.706740148
04/12/1995,-5.145780522,2.85420251,-2.011203377,3.664377306,-4.142632966,4.884916967,-2.710819021
05/12/1995,-7.451080066,-0.235049814,-1.184104862,9.464546206,-2.577896066,5.03700288,-2.398778019
06/12/1995,-1.892512521,1.923885531,-3.877010116,4.166200501,-3.101117069,6.496475996,-1.929698674
07/12/1995,-4.645100924,-1.579637395,-0.829530975,6.431738199,-4.372443673,5.271714153,-3.250903753
08/12/1995,-6.997891415,1.36548484,-4.379040594,5.838977723,-1.616292683,2.788410028,-3.687234033
09/12/1995,-10.79276169,1.997675569,-0.647170635,5.470287644,-1.794151806,1.815511401,-4.270478163
10/12/1995,-7.339499675,1.999403785,-1.995636833,5.63092411,-3.481597287,3.200854873,-3.050678816
