Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
01/10/1995,18.961376,25.61063,33.851894,11.997216,0.25105858,-6.164206,-9.9019985
02/10/1995,10.333308,27.969213,31.723614,37.76553,30.921244,20.791952,14.038134
03/10/1995,-3.5409272,13.56584,22.621344,36.65168,30.827013,24.140013,18.964954
04/10/1995,-26.038652,-18.14638,-17.274849,-3.127746,-4.043368,2.578547,7.35074
05/10/1995,12.807982,22.082409,18.528324,16.264208,-2.7447557,-5.524368,-6.878977
06/10/1995,25.841635,40.078423,38.85306,32.18853,19.9187,17.812717,11.09783
07/10/1995,13.992017,28.303804,39.167713,41.7951,38.265182,30.643587,18.99854
08/10/1995,20.117113,32.987797,38.925556,40.609165,33.196316,22.311033,19.706587
09/10/1995,19.286842,33.813766,39.99063,47.202847,40.748577,31.618692,19.999756
10/10/1995,4.931077,19.873539,21.03974,33.671803,34.77609,27.721048,20.387043
11/10/1995,4.675565,19.041338,18.136602,33.74906,24.433004,19.200663,14.145409
12/10/1995,12.199014,22.476894,19.892294,28.012121,17.670324,15.458886,11.28144
13/10/1995,4.522668,18.12127,19.362,28.726791,14.482038,12.69326,9.043819
14/10/1995,11.939601,22.044142,19.537508,26.800037,16.076248,14.850549,10.935721
15/10/1995,3.7389047,16.601892,17.756021,27.480406,15.862133,14.3018265,9.151224
16/10/1995,3.426912,16.076609,14.628249,24.12568,13.630123,13.196973,8.371212
17/10/1995,3.9456012,17.73042,17.914106,24.4871,11.985975,9.5053835,8.8482065
18/10/1995,4.1602125,15.290603,14.445264,23.221592,13.498516,12.379278,7.7137685
19/10/1995,0.59499913,14.2661085,16.0605,29.822065,16.593998,13.953571,13.730634
20/10/1995,5.9460335,16.986195,15.310302,22.79735,7.55721,7.811586,4.779969
21/10/1995,-1.1503783,10.549607,12.190439,22.894815,9.858149,10.3518915,8.285729
22/10/1995,4.4174404,16.432375,13.648797,20.974783,8.4537115,9.2819195,5.2983427
23/10/1995,7.638129,16.83353,14.093582,19.820282,8.066415,8.338994,4.7846093
24/10/1995,1.8956012,15.505965,18.533184,26.978842,13.271742,11.545202,8.08575
25/10/1995,-0.66293305,10.846905,9.383642,19.325264,8.196745,9.911176,7.7467504
26/10/1995,-4.2117834,10.681983,10.268059,19.636595,5.208335,6.1857553,4.864666
27/10/1995,-0.521548,8.570826,8.837293,17.50531,3.5682418,3.442418,1.7756939
28/10/1995,-12.435401,-1.2229655,2.0808902,14.03074,7.3728857,6.1513424,5.570267
29/10/1995,-34.3747,-17.49591,-16.181904,2.7311897,2.2787313,8.101666,3.4150243
30/10/1995,-30.878546,-22.043533,-31.602087,-26.336538,-28.260143,-15.863252,-8.985657
31/10/1995,-1.5659553,9.871367,2.97577,3.588604,-13.439056,-11.419512,-10.407331
01/11/1995,2.48972,14.536409,18.075253,22.574125,8.257515,3.918229,3.2930398
02/11/1995,-23.019474,-4.5706687,0.17850532,19.93908,15.560472,8.172369,5.5178003
03/11/1995,-25.246223,-16.39466,-18.171421,-8.096089,-9.694586,0.6967706,1.0002034
04/11/1995,-15.293891,-7.2870936,-12.732134,-3.435781,-16.096786,-6.5065966,-6.555683
05/11/1995,-5.576618,4.262982,-0.6965505,4.0737906,-12.000445,-5.788145,-8.287698
06/11/1995,1.6877478,14.323169,15.964484,14.657706,3.0521564,4.6626353,1.0336572
07/11/1995,16.426432,29.956345,29.778471,25.685762,12.4216795,8.820648,4.1058574
08/11/1995,1.066285,15.798921,21.887995,32.47304,24.050812,19.534538,15.131363
09/11/1995,-0.27362937,12.827612,11.018431,22.691452,15.306329,14.103033,11.576811
10/11/1995,6.900275,19.74744,19.897617,28.191349,12.378909,11.322808,7.6414638
11/11/1995,0.79015905,14.4453745,14.991996,24.366873,13.649591,12.904251,8.64917
12/11/1995,-0.41150206,11.951788,10.450974,21.84669,9.251578,10.2862625,6.607081
13/11/1995,5.0958033,14.174311,12.331481,19.641441,4.275243,6.4469104,3.1903408
14/11/1995,-1.3748604,11.169416,11.307644,19.972935,6.6149106,8.726839,4.8228993
15/11/1995,-14.219976,-1.519177,1.1572269,16.278288,7.67414,6.277457,5.0915656
16/11/1995,-34.953205,-30.155684,-27.163042,-2.3783116,-5.174541,-7.2818418,-5.037049
17/11/1995,-49.39943,-45.175285,-43.901802,-17.735777,-21.015532,-12.698188,-11.707469
18/11/1995,-253.42941,-231.29903,-218.00742,-149.24678,-87.08677,-55.63024,-27.733795
