Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
01/10/1995,0,0,0,0,0,0,0
02/10/1995,14.838601,21.138744,2.373051,6.47258,-11.299705,-12.825354,-5.854031
03/10/1995,12.054843,27.011211,39.13776,36.701374,26.47624,14.245788,1.6744199
04/10/1995,7.272082,21.138744,34.02152,32.683598,31.767033,24.684381,12.884663
05/10/1995,-23.738266,-14.249641,-4.236001,16.766277,15.75346,16.344496,11.689182
06/10/1995,7.272082,13.014766,-7.5447903,0.27221313,-8.44431,-5.4919147,1.6744199
07/10/1995,14.838601,27.011211,28.668602,32.683598,23.795542,14.245788,1.6744199
08/10/1995,14.838601,32.70368,46.812107,40.538563,36.83607,26.731005,12.884663
09/10/1995,13.494285,25.097645,34.02152,38.65594,36.83607,30.59942,17.46837
10/10/1995,16.108532,32.70368,41.695877,38.65594,34.301563,28.70538,16.363853
11/10/1995,3.8544853,19.135706,34.02152,38.65594,39.3706,30.59942,17.46837
12/10/1995,3.8544853,15.129606,23.1523,26.33635,23.795542,20.51235,14.067232
13/10/1995,3.8544853,15.129606,20.394156,24.039722,21.114855,18.428062,9.1982
14/10/1995,3.8544853,15.129606,20.394156,24.039722,15.75346,12.138957,7.948121
15/10/1995,3.8544853,15.129606,20.394156,24.039722,21.114855,16.344496,7.948121
16/10/1995,3.8544853,15.129606,23.1523,24.039722,18.434158,14.245788,7.948121
17/10/1995,2.1409492,13.014766,20.394156,24.039722,18.434158,14.245788,7.948121
18/10/1995,3.8544853,15.129606,17.635998,21.688663,15.75346,12.138957,6.693383
19/10/1995,0.4159858,13.014766,20.394156,24.039722,15.75346,12.138957,6.693383
20/10/1995,2.1409492,15.129606,17.635998,21.688663,21.114855,16.344496,9.1982
21/10/1995,0.4159858,8.578314,14.745876,19.31402,13.072774,12.138957,7.948121
22/10/1995,-1.3359663,10.796534,17.635998,19.31402,15.75346,12.138957,6.693383
23/10/1995,2.1409492,10.796534,14.745876,19.31402,13.072774,12.138957,6.693383
24/10/1995,0.4159858,10.796534,14.745876,21.688663,13.072774,10.032147,5.438639
25/10/1995,5.5680213,17.132668,20.394156,19.31402,15.75346,10.032147,5.438639
26/10/1995,-3.2049146,8.578314,14.745876,21.688663,15.75346,14.245788,6.693383
27/10/1995,-1.3359663,8.578314,11.754021,16.766277,10.392089,10.032147,6.693383
28/10/1995,-3.2049146,6.3600807,8.762171,14.215432,10.392089,5.8185287,4.183895
